layer	source	target	run	ARG1	ARG2	ARG3	BV	_and_c	_or_c	appos	compound	conj	loc	mwe	neg	poss	subord	times
4	en	es	2	0.9664	0.9627	0.8228	0.993	0.9226	0.9198	0.9579	0.9401	0.7654	0.9176	0.9113	0.9578	0.9645	0.8045	1
0	en	es	3	0.8214	0.7516	0.5347	0.9866	0.4112	0.5	0.5918	0.8268	0.016	0.8157	0.86	0.8352	0.7893	0.4737	1
1	en	es	3	0.9381	0.9247	0.688	0.9932	0.8611	0.8962	0.8711	0.9231	0.5426	0.8937	0.9034	0.944	0.9411	0.7024	1
2	en	es	3	0.9524	0.9418	0.708	0.9949	0.8624	0.8488	0.9025	0.9275	0.6545	0.8981	0.9242	0.9322	0.9442	0.747	1
3	en	es	3	0.9597	0.9534	0.738	0.9946	0.8686	0.7845	0.9365	0.9286	0.6784	0.9075	0.9132	0.9373	0.9551	0.7545	1
4	en	es	3	0.9664	0.9608	0.8071	0.9944	0.9122	0.9026	0.9518	0.9359	0.7837	0.9219	0.9059	0.9486	0.9582	0.7797	1
0	en	fr	1	0.814	0.7572	0.5353	0.9864	0.4038	0.5205	0.5855	0.8211	0.0313	0.8173	0.8535	0.8531	0.7563	0.4487	1
1	en	fr	1	0.9197	0.894	0.6441	0.9928	0.7786	0.7953	0.8178	0.9137	0.3842	0.8863	0.9016	0.9244	0.9232	0.6012	1
2	en	fr	1	0.9474	0.9333	0.7011	0.9938	0.8214	0.8523	0.8939	0.9242	0.5226	0.9059	0.8951	0.9226	0.9439	0.7093	0.9972
3	en	fr	1	0.9554	0.9446	0.7533	0.994	0.9127	0.9362	0.9295	0.9314	0.6119	0.9075	0.9045	0.9263	0.9527	0.7558	1
4	en	fr	1	0.9658	0.9606	0.8062	0.9946	0.9364	0.9412	0.9342	0.9379	0.7203	0.9091	0.9188	0.9401	0.9619	0.7543	1
0	en	fr	2	0.8179	0.757	0.5304	0.9868	0.3848	0.4964	0.5846	0.8192	0.0571	0.8163	0.8338	0.8164	0.7536	0.4459	1
1	en	fr	2	0.9241	0.9025	0.6691	0.9938	0.7867	0.8072	0.8176	0.9222	0.4114	0.8975	0.9165	0.9217	0.9231	0.6087	0.9972
2	en	fr	2	0.9472	0.9351	0.7186	0.9932	0.8247	0.8786	0.9062	0.9267	0.52	0.9064	0.9032	0.9204	0.9392	0.7126	0.9972
3	en	fr	2	0.956	0.9434	0.739	0.9946	0.9065	0.9312	0.9183	0.9338	0.641	0.9215	0.8974	0.924	0.9495	0.7337	0.9972
4	en	fr	2	0.9659	0.9626	0.8137	0.9946	0.9404	0.9462	0.9432	0.9366	0.7845	0.9206	0.9082	0.9576	0.961	0.7647	0.9972
0	en	fr	3	0.819	0.7606	0.565	0.9849	0.4322	0.5035	0.5975	0.8219	0.0584	0.8232	0.8372	0.8174	0.7694	0.443	1
1	en	fr	3	0.9241	0.9011	0.6654	0.9936	0.7809	0.8166	0.8233	0.9195	0.442	0.8999	0.8945	0.9186	0.9234	0.5976	0.9943
2	en	fr	3	0.9486	0.936	0.7285	0.9944	0.8382	0.8701	0.8863	0.9287	0.5288	0.9104	0.9031	0.9286	0.9441	0.7159	1
3	en	fr	3	0.956	0.9458	0.7487	0.9944	0.898	0.9368	0.9172	0.9336	0.6195	0.9107	0.8992	0.9381	0.9498	0.7515	1
4	en	fr	3	0.9669	0.9609	0.8096	0.9946	0.9336	0.9412	0.9427	0.94	0.7541	0.926	0.92	0.9433	0.969	0.7251	0.9972
0	en	ru	1	0.8176	0.7532	0.5245	0.9849	0.4024	0.5109	0.5637	0.8233	0.0155	0.8208	0.8342	0.8412	0.7645	0.479	1
1	en	ru	1	0.9304	0.9158	0.6742	0.9938	0.8389	0.8876	0.8282	0.9128	0.5083	0.8849	0.9021	0.9139	0.9167	0.5625	0.9943
2	en	ru	1	0.9391	0.9279	0.6395	0.9917	0.8997	0.8729	0.8817	0.9003	0.6311	0.8783	0.898	0.9245	0.924	0.6164	0.9915
3	en	ru	1	0.9532	0.9442	0.7406	0.9908	0.8924	0.8324	0.9298	0.9217	0.6544	0.9096	0.8827	0.9583	0.9561	0.6456	0.9915
4	en	ru	1	0.9552	0.9463	0.758	0.9913	0.919	0.911	0.9441	0.9225	0.7381	0.8986	0.8878	0.9318	0.9599	0.7073	0.9943
0	en	ru	2	0.8168	0.7497	0.5154	0.9851	0.4064	0.518	0.584	0.8171	0.0301	0.831	0.8535	0.8476	0.7624	0.4706	1
1	en	ru	2	0.931	0.9152	0.6704	0.9932	0.8328	0.8488	0.851	0.9093	0.3799	0.8824	0.9219	0.9181	0.93	0.6036	0.9972
2	en	ru	2	0.9406	0.9314	0.6617	0.9916	0.9023	0.8555	0.8884	0.9017	0.5926	0.8889	0.8802	0.939	0.9238	0.6463	0.9914
3	en	ru	2	0.9555	0.9457	0.7158	0.992	0.8789	0.8177	0.9231	0.9249	0.6983	0.9086	0.9068	0.9527	0.9582	0.6747	1
4	en	ru	2	0.9563	0.9478	0.7698	0.9899	0.9195	0.9149	0.9469	0.9275	0.751	0.9069	0.9036	0.9345	0.9606	0.6829	0.9972
0	en	ru	3	0.8158	0.745	0.5554	0.9837	0.3921	0.5037	0.5963	0.8161	0	0.815	0.8303	0.8563	0.7617	0.4431	1
1	en	ru	3	0.9295	0.9146	0.6493	0.9928	0.8279	0.8492	0.8326	0.9107	0.4358	0.8866	0.9063	0.9139	0.9195	0.5963	0.9943
2	en	ru	3	0.9408	0.929	0.6527	0.9905	0.8866	0.8333	0.8864	0.9048	0.6119	0.881	0.8849	0.9249	0.9152	0.6545	0.9886
3	en	ru	3	0.9548	0.9463	0.7289	0.9922	0.8906	0.8315	0.9268	0.9247	0.7009	0.8964	0.8972	0.9412	0.9627	0.6788	0.9943
4	en	ru	3	0.9541	0.9476	0.7521	0.9912	0.9191	0.9247	0.9443	0.9249	0.7647	0.9067	0.899	0.9235	0.9668	0.6587	0.9972
0	en	zh	1	0.8201	0.7537	0.5465	0.9849	0.3986	0.518	0.5789	0.8184	0.0301	0.8069	0.8372	0.8174	0.7543	0.4906	1
1	en	zh	1	0.9336	0.9199	0.6306	0.9938	0.7874	0.8876	0.8222	0.9031	0.4316	0.8928	0.8951	0.9086	0.9197	0.6415	0.9972
2	en	zh	1	0.9398	0.9348	0.7	0.9907	0.8832	0.8166	0.8929	0.8998	0.6379	0.8755	0.8667	0.9329	0.9238	0.638	1
3	en	zh	1	0.9543	0.9505	0.7854	0.9922	0.8834	0.7955	0.9156	0.9214	0.7059	0.9064	0.8798	0.9483	0.9565	0.7229	0.9943
4	en	zh	1	0.9544	0.9511	0.7966	0.9901	0.9251	0.9239	0.9383	0.9225	0.7359	0.9175	0.9211	0.9279	0.9653	0.6497	0.9972
0	en	zh	2	0.821	0.7622	0.5558	0.9852	0.4076	0.518	0.5736	0.8175	0.0752	0.8167	0.855	0.8333	0.764	0.4815	1
1	en	zh	2	0.9338	0.922	0.6704	0.9926	0.8051	0.9022	0.8356	0.905	0.4124	0.8879	0.8974	0.924	0.9201	0.6235	0.9943
2	en	zh	2	0.9414	0.934	0.6777	0.9899	0.8818	0.8475	0.8807	0.8994	0.6555	0.8754	0.8685	0.9267	0.9112	0.6538	1
3	en	zh	2	0.9547	0.9506	0.7735	0.9926	0.8838	0.8136	0.922	0.9227	0.6975	0.894	0.8906	0.9524	0.9538	0.686	0.9972
4	en	zh	2	0.9534	0.9501	0.7898	0.9891	0.9238	0.9043	0.9448	0.9223	0.7632	0.9126	0.9021	0.9415	0.9617	0.6585	0.9943
0	en	zh	3	0.821	0.7614	0.574	0.9847	0.408	0.5286	0.5635	0.8203	0.0432	0.8086	0.8635	0.8352	0.7578	0.4487	1
1	en	zh	3	0.9321	0.9225	0.648	0.9911	0.7921	0.8686	0.829	0.9044	0.4579	0.8783	0.8936	0.9075	0.9302	0.6467	1
2	en	zh	3	0.9418	0.9375	0.7076	0.9911	0.8899	0.8492	0.8825	0.9005	0.6494	0.8759	0.8667	0.9358	0.9178	0.6289	0.9972
3	en	zh	3	0.9548	0.9487	0.7676	0.9924	0.8895	0.8045	0.9342	0.9195	0.6847	0.9104	0.8992	0.9325	0.9462	0.7442	0.9972
4	en	zh	3	0.956	0.9525	0.7993	0.9909	0.9152	0.9206	0.9425	0.9229	0.7719	0.9131	0.9054	0.9358	0.9644	0.675	0.9915
